population,Log_Nr,avg_height,elevation,d10_avg,d_25_avg,d_50_avg,d100_avg,d200_avg,LC,LCZ,Albedo,NDVI,build_coun,dist_to_center,dist_to_forest
40.0,1,53.518,557,82.739,129.635,170.191,220.708324,290.772174,3.0,5.0,121.0,0.11449716985225677,8,2092.3481452438077,99.28634179640959
82.0,2,32.648,560,55.418,86.203,118.172,166.135702,245.832337,6.0,8.0,119.5,0.07056937366724014,10,3317.9960373987337,188.56385592417783
261.0,3,15.697,546,14.692,23.144,33.791,49.368692,72.078761,5.0,5.0,115.5,0.12531408667564392,199,0.0,907.5440226383952
0.0,4,0.0,588,0.0,0.0,0.0,0.0,0.0,15.0,14.0,182.68421052631578,0.6667680740356445,0,5897.857587959005,376.8157142718675
13.0,5,16.205,556,47.596,79.026,111.224,149.728292,202.873998,10.0,6.0,126.0,0.687871515750885,16,1363.3131348417128,867.717520297234
99.0,6,17.286,565,39.976,59.652,82.18,114.178965,164.19193,2.0,5.0,148.41176470588235,0.34369054436683655,30,5074.719287594914,361.19402532417325
160.0,7,25.575,536,41.159,64.781,95.104,139.7353,202.450081,2.0,2.0,115.0,0.03960799425840378,23,1733.8161897229966,792.9214119462507
0.0,8,59.008,552,113.81,154.76,192.878,248.80632,320.884505,9.0,4.0,131.0,0.22449739277362823,6,2389.299500549045,175.05668028997079
0.0,9,0.0,558,0.0,0.0,0.0,0.0,0.0,10.0,5.0,121.0,0.5945658683776855,0,2224.155749968002,270.3943252842184
126.0,10,30.502,563,43.969,66.63,93.731,132.364138,186.187217,2.0,5.0,119.0,0.2667774260044098,27,1484.449818304703,461.9085972991648
0.0,11,12.049,566,106.759,149.458,192.581,241.429531,300.700059,10.0,12.0,128.0,0.5201435089111328,2,1711.9254789629686,277.17163445586056
105.0,12,20.292,568,43.173,67.387,100.713,159.662856,236.962058,2.0,5.0,136.0,0.32198503613471985,28,1735.435595558985,497.05837589677265
6.0,13,14.758,556,42.469,77.059,112.1,149.581421,196.05997,23.0,11.0,126.0,0.6237516403198242,13,1229.764118114787,708.4945794018275
